name,height,lat,lon
42055,5.0,22.12,-93.96
42056,4.0,19.918,-84.938
42057,4.0,16.908,-81.422
42058,4.0,14.888,-74.575
42059,4.0,15.252,-67.51
42060,4.0,16.406,-63.188
42065,5.0,14.926,-75.046
42067,5.0,30.042,-88.647
42080,2.0,24.396,-81.934
42087,3.35,11.185,-60.848
42088,3.35,11.301,-60.521
42089,3.35,19.699,-80.061
42090,3.35,18.432,-69.58
42097,3.35,25.7,-83.65
42098,3.35,27.589,-82.931
42099,3.35,27.345,-84.275
42360,3.0,26.672,-90.471
42361,122.0,27.55,-92.49
42362,122.0,27.795,-90.648
42363,122.0,28.16,-89.22
42364,122.0,29.06,-88.09
42365,122.0,28.2,-89.12
42366,122.0,27.122,-91.959
42367,122.0,28.742,-88.826
42368,122.0,27.204,-92.202
42369,60.4,27.207,-90.283
42370,78.7,27.322,-90.536
42371,78.7,27.732,-91.111
42372,78.7,27.78,-90.518
42373,78.7,27.354,-94.625
42374,78.7,28.866,-88.056
42375,61.0,28.521,-88.289
42376,61.0,29.108,-87.944
42377,61.0,27.293,-90.968
42379,61.0,27.362,-90.181
42380,61.0,28.209,-88.737
42381,61.0,28.221,-89.615
42382,61.0,27.304,-93.538
42383,61.0,27.37,-89.924
42384,61.0,27.993,-90.326
42385,61.0,28.34,-88.266
42386,61.0,27.326,-90.714
42387,61.0,28.267,-88.399
42388,61.0,27.73,-91.109
42390,61.0,26.129,-94.898
42391,61.0,28.034,-89.101
42392,61.0,27.196,-90.027
42393,61.0,27.301,-90.135
42394,100.0,28.157,-89.24
42395,3.0,26.404,-90.792
42397,3.0,28.755,-88.267
42398,3.0,26.132,-92.04
42399,3.0,27.111,-92.04
42401,3.0,27.509,-90.556
42408,3.0,25.2,-87.0
42409,3.0,25.851,-89.251
42429,3.0,27.401,-85.671
42851,3.0,26.572,-90.784
42852,3.0,28.501,-89.769
42853,3.0,27.146,-90.319
42854,3.0,27.768,-90.798
42855,3.0,28.201,-88.766
42856,3.0,26.52,-90.531
42857,3.0,27.569,-92.396
42858,3.0,27.962,-89.048
42859,3.0,27.514,-90.376
42860,3.0,27.937,-90.01
42861,3.0,28.369,-87.924
42862,3.0,27.57,-92.396
42863,3.0,28.962,-88.696
42864,3.0,26.455,-90.777
42865,3.0,27.354,-94.473
42866,3.0,28.491,-88.997
42867,3.0,28.183,-88.629
42868,3.0,28.214,-88.519
42869,3.0,28.695,-87.931
42870,3.0,27.458,-90.884
42871,3.0,27.331,-89.868
42872,3.0,28.738,-88.366
42873,3.0,26.231,-94.729
42874,3.0,28.603,-88.332
42875,3.0,28.154,-89.836
42876,3.0,26.297,-91.094
42877,3.0,28.18,-89.29
42878,3.0,27.784,-91.983
42879,3.0,27.476,-90.559
