"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Absolute Orbit","Relative Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Baseline Perp.","Doppler","Stack ID"
"S1B_IW_GRDH_1SDV_20170504T050443_20170504T050512_005444_0098AF_3099","SENTINEL-1B","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","5444","168","168","182","2017-05-04T05:05:12Z","2017-05-04T16:08:28Z","GRD_HD","2017-05-04T05:04:43Z","2017-05-04T05:05:12Z","56.6773","-170.5646","55.5942","-172.2527","55.9961","-168.284","57.3223","-172.9239","57.7298","-168.7708","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20170504T050443_20170504T050512_005444_0098AF_3099.zip","772.57 MB","-1","0","0","-1","0"
"S1A_IW_GRDH_1SDV_20170503T231631_20170503T231659_016424_01B33E_42C7","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","16424","77","77","142","2017-05-03T23:16:59Z","2017-05-04T10:52:32Z","GRD_HD","2017-05-03T23:16:31Z","2017-05-03T23:16:59Z","44.7884","-80.8609","43.7544","-82.2381","44.1547","-79.0607","45.3992","-82.6978","45.7996","-79.4287","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170503T231631_20170503T231659_016424_01B33E_42C7.zip","949.39 MB","-1","0","0","-1","0"
"S1A_IW_GRDH_1SDV_20170503T231311_20170503T231336_016424_01B33E_1C58","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","16424","77","77","102","2017-05-03T23:13:36Z","2017-05-11T16:26:25Z","GRD_HD","2017-05-03T23:13:11Z","2017-05-03T23:13:36Z","32.6948","-78.0935","31.7298","-79.2725","32.1408","-76.5856","33.2355","-79.6181","33.6442","-76.8853","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170503T231311_20170503T231336_016424_01B33E_1C58.zip","726.07 MB","-1","0","0","-1","0"
"S1A_IW_GRDH_1SDV_20170503T231246_20170503T231311_016424_01B33E_1C1F","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","16424","77","77","97","2017-05-03T23:13:11Z","2017-05-04T13:52:33Z","GRD_HD","2017-05-03T23:12:46Z","2017-05-03T23:13:11Z","31.1893","-77.7729","30.2232","-78.9321","30.6365","-76.2888","31.7297","-79.2725","32.1405","-76.5865","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170503T231246_20170503T231311_016424_01B33E_1C1F.zip","726.14 MB","-1","0","0","-1","0"
"S1A_IW_GRDH_1SDV_20170503T231221_20170503T231246_016424_01B33E_922D","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","16424","77","77","92","2017-05-03T23:12:46Z","2017-05-11T16:28:32Z","GRD_HD","2017-05-03T23:12:21Z","2017-05-03T23:12:46Z","29.6833","-77.4557","28.716","-78.5965","29.1318","-75.9936","30.2231","-78.9321","30.6363","-76.2896","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170503T231221_20170503T231246_016424_01B33E_922D.zip","753.46 MB","-1","0","0","-1","0"
"S1A_IW_GRDH_1SDV_20170503T231156_20170503T231221_016424_01B33E_0A8A","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","16424","77","77","87","2017-05-03T23:12:21Z","2017-05-11T16:28:23Z","GRD_HD","2017-05-03T23:11:56Z","2017-05-03T23:12:21Z","28.1767","-77.1415","27.2082","-78.265","27.6267","-75.6996","28.7159","-78.5964","29.1316","-75.9943","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170503T231156_20170503T231221_016424_01B33E_0A8A.zip","757.38 MB","-1","0","0","-1","0"
"S1B_IW_GRDH_1SDV_20170503T222611_20170503T222639_005440_009892_4900","SENTINEL-1B","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","5440","164","164","139","2017-05-03T22:26:39Z","2017-05-04T10:09:07Z","GRD_HD","2017-05-03T22:26:11Z","2017-05-03T22:26:39Z","43.836","-68.2737","42.7983","-69.6082","43.1928","-66.5275","44.4581","-70.055","44.8522","-66.8876","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20170503T222611_20170503T222639_005440_009892_4900.zip","879.22 MB","-1","0","0","-1","0"
"S1B_IW_GRDH_1SDV_20170503T222546_20170503T222611_005440_009892_FCCA","SENTINEL-1B","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","5440","164","164","134","2017-05-03T22:26:11Z","2017-05-04T09:57:28Z","GRD_HD","2017-05-03T22:25:46Z","2017-05-03T22:26:11Z","42.2554","-67.8935","41.2978","-69.2133","41.6928","-66.2062","42.7982","-69.6082","43.1925","-66.5288","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20170503T222546_20170503T222611_005440_009892_FCCA.zip","747.51 MB","-1","0","0","-1","0"
"S1B_IW_GRDH_1SDV_20170503T222521_20170503T222546_005440_009892_6FB2","SENTINEL-1B","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","5440","164","164","129","2017-05-03T22:25:46Z","2017-05-04T09:56:27Z","GRD_HD","2017-05-03T22:25:21Z","2017-05-03T22:25:46Z","40.7543","-67.5387","39.7964","-68.8286","40.1923","-65.8896","41.2977","-69.2133","41.6926","-66.2073","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20170503T222521_20170503T222546_005440_009892_6FB2.zip","756.82 MB","-1","0","0","-1","0"
"S1A_IW_GRDH_1SDV_20170502T223500_20170502T223525_016409_01B2CD_3C65","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","16409","62","62","138","2017-05-02T22:35:25Z","2017-05-03T17:44:26Z","GRD_HD","2017-05-02T22:35:00Z","2017-05-02T22:35:25Z","43.3264","-70.1844","42.3687","-71.5318","42.763","-68.4707","43.8693","-71.9272","44.263","-68.7898","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170502T223500_20170502T223525_016409_01B2CD_3C65.zip","891.14 MB","-1","0","0","-1","0"
