ecmwf_u_front,ecmwf_u_late,ecmwf_v_front,ecmwf_v_late,ndbc_wdir,ndbc_wspeed,sar,station,scending
-5.446400425139537,-4.959391951126221,-1.4032166787946565,-0.8130449690262971,215,7.9,S1A_IW_GRDH_1SDV_20160830T222654_20160830T222721_012836_014406_AA4F,mism1,Ascending
6.985641764722779,9.333458736458617,-3.219464671218322,-4.961668980497617,10,9.8,S1A_IW_GRDH_1SDV_20160923T222655_20160923T222722_013186_014F7D_D93C,44005,Ascending
7.220665754669504,8.720458020412003,-2.9428897371202325,-3.64412697160515,21,6.7,S1A_IW_GRDH_1SDV_20160923T222655_20160923T222722_013186_014F7D_D93C,mism1,Ascending
2.852127054938116,5.279900641810464,4.2480585494300565,4.309035700254832,37,11.9,S1A_IW_GRDH_1SDV_20160928T223438_20160928T223507_013259_0151D5_602F,44013,Ascending
5.611841741013571,7.765824494236647,4.356946318760008,4.080371384661923,32,11.0,S1A_IW_GRDH_1SDV_20160928T223438_20160928T223507_013259_0151D5_602F,44020,Ascending
-39.234127639645465,-39.234127639645465,-44.598994771988174,-44.598994771988174,29,14.5,S1A_IW_GRDH_1SDV_20160928T223438_20160928T223507_013259_0151D5_602F,buzm3,Ascending
3.528123892001375,6.469558157932546,-2.5748490767849823,2.6495860956663004,334,10.3,S1A_IW_GRDH_1SDV_20161010T223438_20161010T223507_013434_015759_110C,44020,Ascending
-39.234127639645465,-39.234127639645465,-44.598994771988174,-44.598994771988174,353,8.7,S1A_IW_GRDH_1SDV_20161010T223438_20161010T223507_013434_015759_110C,buzm3,Ascending
6.0019331057705045,2.8787792599836166,0.14734515646391344,-3.3740853036668597,26,10.6,S1A_IW_GRDH_1SDV_20161011T231312_20161011T231341_013449_0157D0_B836,41004,Ascending
9.069359613734976,9.607249570107893,-5.808815825884673,-5.2556659576885005,256,13.1,S1A_IW_GRDH_1SDV_20161022T223438_20161022T223507_013609_015CDA_0BCF,44013,Ascending
-39.234127639645465,-39.234127639645465,-44.598994771988174,-44.598994771988174,270,17.2,S1A_IW_GRDH_1SDV_20161022T223438_20161022T223507_013609_015CDA_0BCF,buzm3,Ascending
3.288254046591831,2.1034423859325666,-5.292687799260683,-5.482152517894804,302,10.6,S1A_IW_GRDH_1SDV_20161103T223438_20161103T223507_013784_01624D_47D3,44013,Ascending
-39.234127639645465,-39.234127639645465,-44.598994771988174,-44.598994771988174,271,10.9,S1A_IW_GRDH_1SDV_20161103T223438_20161103T223507_013784_01624D_47D3,buzm3,Ascending
7.414499973182267,7.089827657173388,-3.4459512314246297,-0.018164252917618032,69,10.1,S1A_IW_GRDH_1SDV_20161115T223438_20161115T223507_013959_0167C3_EA97,44013,Ascending
-39.234127639645465,-39.234127639645465,-44.598994771988174,-44.598994771988174,128,13.3,S1A_IW_GRDH_1SDV_20161115T223438_20161115T223507_013959_0167C3_EA97,buzm3,Ascending
5.594881246893706,3.2131432869181324,-4.6154058740283554,-4.118877645883757,321,9.2,S1A_IW_GRDH_1SDV_20161127T223437_20161127T223506_014134_016D1C_528B,44013,Ascending
-39.234127639645465,-39.234127639645465,-44.598994771988174,-44.598994771988174,320,10.9,S1A_IW_GRDH_1SDV_20161127T223437_20161127T223506_014134_016D1C_528B,buzm3,Ascending
2.5104942448093723,3.56446780797252,-1.4380607649802428,4.8491190361314125,308,10.9,S1A_IW_GRDH_1SDV_20161209T223437_20161209T223506_014309_0172A8_1024,44013,Ascending
