height,scending,wdir,wspeed,sigma_vh,sigma_vv
2.75,Ascending,81,9.7,-28.996166383200105,0.040212657
2.95,Ascending,314,5.3,-27.907532794213612,0.0153990155
3.0,Ascending,69,5.2,-29.881479488746887,0.014622796
5.0,Ascending,214,3.7,-26.693330831588273,0.021254353
5.0,Ascending,318,9.2,-32.183476288976934,0.011824572
5.0,Ascending,310,7.7,-28.3478830861481,0.020007195
4.0,Ascending,256,1.8,-32.51794266269038,0.0014023674
4.0,Ascending,308,12.5,-26.392957851293353,0.056572773
4.0,Ascending,349,7.0,-26.89062993225605,0.045908827
4.0,Ascending,350,1.3,-33.773112511335505,0.0013336289
4.0,Ascending,8,12.4,-29.013974043061523,0.022718599
4.0,Ascending,344,5.2,-27.620067335802997,0.021829044
5.0,Ascending,349,4.2,-26.42140661851212,0.023914738
5.0,Ascending,350,6.1,-30.26395276493931,0.005913378
5.0,Ascending,307,8.8,-27.87962061762844,0.020010969
5.0,Ascending,315,6.6,-27.619763373778028,0.024971204
5.0,Ascending,344,12.8,-30.39888778881842,0.014391438
5.0,Ascending,309,11.5,-29.609397212565,0.022616964
5.0,Ascending,360,0.8,-32.30663177676012,0.0016352945
5.0,Ascending,223,0.7,-31.826908482204296,0.0007661168
5.0,Ascending,251,3.3,-30.406876750698217,0.0071792426
4.0,Ascending,357,2.5,-28.430135368253453,0.0042911423
4.0,Ascending,360,9.2,-28.620729602297033,0.008490746
4.0,Ascending,218,3.4,-29.913239120106397,0.0032239712
4.0,Ascending,200,1.7,-28.608518330164884,0.006294808
5.0,Ascending,108,3.6,-27.463167367346855,0.017889863
5.0,Ascending,188,1.1,-28.65817618120319,0.0013163843
5.0,Ascending,297,7.2,-30.0027034941268,0.0077678976
5.0,Ascending,259,5.3,-32.110107334655865,0.007600222
5.0,Ascending,248,1.7,-32.89935162337453,0.0024335429
5.0,Ascending,284,8.4,-27.597210098354658,0.04594241
5.0,Ascending,258,6.0,-29.941065485858303,0.016359678
4.0,Ascending,290,9.3,-29.881954761911214,0.018930314
4.5,Ascending,281,2.1,-30.175510431298402,0.0066777817
4.5,Ascending,357,2.8,-30.3076968252001,0.0027634988
4.5,Ascending,149,3.0,-30.2041411083037,0.005033385
4.5,Ascending,175,1.5,-30.494041600154556,0.0009794863
4.5,Ascending,329,10.5,-27.817806102611872,0.011747186
5.0,Ascending,50,5.3,-32.00003751650933,0.007596171
5.0,Ascending,108,5.6,-32.44253264124593,0.008952226
4.0,Ascending,28,11.6,-30.25199438035783,0.026340093
4.0,Ascending,36,6.9,-33.089315734559165,0.010431683
4.0,Ascending,69,7.4,-28.150444869680356,0.033818837
4.0,Ascending,70,8.4,-27.630413844311136,0.05385905
4.0,Ascending,76,9.0,-27.594732767109367,0.055831928
5.0,Ascending,33,8.7,-27.15162626910164,0.071577646
5.0,Ascending,51,6.1,-29.082755781906165,0.008593549
