height,scending,wdir,wspeed,sigma_vv,sigma_vh,incidence
2.95,Ascending,237,0.0,0.0009459238,0.00069183257,38.87138
2.95,Ascending,333,2.2,0.0042435075,0.00072479906,38.87626
3.0,Ascending,236,9.4,0.05787992,0.0021068368,34.203644
3.0,Ascending,254,7.0,0.012952394,0.0006434842,43.38071
2.3,Ascending,64,2.2,0.001564392,0.0008486314,37.25611
2.3,Ascending,78,7.9,0.043662284,0.0012786292,37.261528
2.3,Ascending,67,9.3,0.069825664,0.0020013126,34.367992
2.0,Ascending,36,8.7,0.018753193,0.0006860306,43.313877
2.0,Ascending,88,10.8,0.10731173,0.0025352014,33.07732
2.0,Ascending,261,8.7,0.02185242,0.0006805964,43.308937
2.75,Ascending,81,9.7,0.040212657,0.0012600372,40.377995
2.95,Ascending,314,5.3,0.0153990155,0.0016189995,40.761997
3.0,Ascending,69,5.2,0.014622796,0.0010276661,40.574062
5.0,Ascending,214,3.7,0.021254353,0.0021412477,31.401346
5.0,Ascending,318,9.2,0.011824572,0.0006048565,42.881756
5.0,Ascending,310,7.7,0.020007195,0.0014628901,35.817688
4.0,Ascending,256,1.8,0.0014023674,0.00056002283,44.9462
4.0,Ascending,308,12.5,0.056572773,0.0022945853,34.551395
4.0,Ascending,349,7.0,0.045908827,0.0020461478,32.082745
4.0,Ascending,350,1.3,0.0013336289,0.00041945826,42.844837
4.0,Ascending,8,12.4,0.022718599,0.0012548812,42.253105
4.0,Ascending,344,5.2,0.021829044,0.0017297895,31.983
5.0,Ascending,349,4.2,0.023914738,0.0022796036,30.970655
5.0,Ascending,350,6.1,0.005913378,0.0009410327,41.73911
5.0,Ascending,307,8.8,0.020010969,0.0016294384,36.541405
5.0,Ascending,315,6.6,0.024971204,0.0017299106,33.40252
5.0,Ascending,344,12.8,0.014391438,0.00091224443,43.535393
5.0,Ascending,309,11.5,0.022616964,0.0010941082,39.402218
5.0,Ascending,360,0.8,0.0016352945,0.00058794516,38.27983
5.0,Ascending,223,0.7,0.0007661168,0.0006566125,38.50528
5.0,Ascending,251,3.3,0.0071792426,0.0009105679,37.14428
4.0,Ascending,357,2.5,0.0042911423,0.0014354447,36.378548
4.0,Ascending,360,9.2,0.008490746,0.0013738112,45.53575
4.0,Ascending,218,3.4,0.0032239712,0.0010201783,37.38764
4.0,Ascending,200,1.7,0.006294808,0.0013776794,33.761433
5.0,Ascending,108,3.6,0.017889863,0.0017934252,32.523468
5.0,Ascending,188,1.1,0.0013163843,0.0013620165,34.56961
5.0,Ascending,297,7.2,0.0077678976,0.0009993777,45.52138
5.0,Ascending,14,8.8,6.0153477e-13,5.61531e-13,41.68087
5.0,Ascending,259,5.3,0.007600222,0.00061516167,42.201397
5.0,Ascending,248,1.7,0.0024335429,0.00051293796,44.97705
5.0,Ascending,284,8.4,0.04594241,0.0017389175,33.71717
5.0,Ascending,258,6.0,0.016359678,0.0010136627,37.4765
4.0,Ascending,290,9.3,0.018930314,0.0010275537,39.67294
4.5,Ascending,281,2.1,0.0066777817,0.00096039294,37.35912
4.5,Ascending,357,2.8,0.0027634988,0.0009316018,37.364
4.5,Ascending,149,3.0,0.005033385,0.0009540824,36.846336
4.5,Ascending,175,1.5,0.0009794863,0.00089247455,36.8513
4.5,Ascending,329,10.5,0.011747186,0.0016527965,45.604225
5.0,Ascending,50,5.3,0.007596171,0.0006309519,42.350327
5.0,Ascending,108,5.6,0.008952226,0.0005698319,42.357082
4.0,Ascending,28,11.6,0.026340093,0.00094362744,42.960186
4.0,Ascending,36,6.9,0.010431683,0.0004909852,42.956867
4.0,Ascending,69,7.4,0.033818837,0.0015309306,35.74403
4.0,Ascending,70,8.4,0.05385905,0.0017256734,35.743996
4.0,Ascending,76,9.0,0.055831928,0.0017399098,35.751835
5.0,Ascending,33,8.7,0.071577646,0.0019268033,33.30859
5.0,Ascending,51,6.1,0.008593549,0.0012351634,45.820904
5.0,Ascending,63,4.7,0.028226355,0.0017569895,33.305374
5.0,Ascending,92,3.0,0.003650991,0.0010879048,45.81785
4.0,Ascending,41,9.3,0.02507085,0.0006810263,43.739334
4.0,Ascending,59,7.6,0.017710667,0.0004853835,43.745255
5.0,Ascending,31,11.8,0.031426035,0.0012885571,42.12959
5.0,Ascending,35,6.4,0.011427886,0.0007049778,42.126755
15.7,Ascending,89,8.6,0.039055515,0.0033916843,41.583427
15.7,Ascending,324,1.8,0.009823185,0.0020615058,41.58064
6.6,Ascending,124,5.1,0.056473292,0.013746472,37.45717
6.6,Ascending,354,1.3,0.042677097,0.012205536,37.454296
21.6,Ascending,302,2.8,0.0075102034,0.0017779985,33.335636
24.8,Ascending,8,10.1,0.045163292,0.002383664,32.00898
24.8,Ascending,124,5.1,0.0029033613,0.00054739765,42.48958
24.8,Ascending,193,9.7,0.030675968,0.0018871144,32.01051
24.8,Ascending,203,10.4,0.04071105,0.0020403636,32.010704
24.8,Ascending,234,11.6,0.014528401,0.00067043,42.491318
24.8,Ascending,250,4.7,0.019657942,0.0018818142,32.005733
10.0,Ascending,287,3.3,0.01961578,0.005634297,41.746136
10.0,Ascending,338,2.6,0.01804835,0.0056671854,41.75025
9.8,Ascending,213,4.8,0.019667352,0.0042481963,38.54686
20.4,Ascending,235,6.3,0.2230944,0.009891547,33.02365
31.4,Ascending,0,0.0,0.003647561,0.0010201166,39.999454
31.4,Ascending,135,0.1,0.004025432,0.0010371354,39.99484
25.3,Ascending,45,14.4,0.09271235,0.005353909,33.629875
25.3,Ascending,232,9.0,0.046095982,0.004347645,33.62465
13.5,Ascending,179,3.6,0.018209267,0.0044484762,37.79472
6.6,Ascending,46,7.6,0.013621811,0.0007925399,42.68512
6.6,Ascending,212,1.1,0.0023845858,0.00062589796,42.68362
22.0,Ascending,22,1.5,0.0020556592,0.0011424655,39.071392
15.7,Ascending,80,4.5,0.013600484,0.0021917282,41.851913
15.7,Ascending,336,0.9,0.0080575645,0.002373149,41.84917
43.9,Ascending,242,7.5,0.009747253,0.00059033313,42.6627
19.2,Ascending,5,4.0,0.008457359,0.003087403,36.295437
19.2,Ascending,146,6.5,0.0052899495,0.0018833915,45.732246
19.2,Ascending,319,13.4,0.0072734957,0.0019976425,45.733364
7.0,Ascending,251,4.6,0.011140652,0.0012239575,37.33208
22.9,Ascending,143,6.3,0.007855418,0.0015724426,35.851902
22.9,Ascending,347,5.4,0.0036869994,0.000996505,45.250717
15.8,Ascending,227,3.4,0.0046499437,0.00091381854,40.452168
15.9,Ascending,210,2.6,0.038653817,0.011583139,34.50229
9.4,Ascending,311,4.0,0.061368946,0.011163611,38.46213
9.4,Ascending,343,3.8,0.057729565,0.011207852,38.467514
6.6,Ascending,189,1.1,0.0026607122,0.0011039443,37.11988
15.5,Ascending,257,10.3,0.024988102,0.0031663643,36.57726
17.7,Ascending,97,9.3,0.036152016,0.0010481231,38.060223
17.7,Ascending,107,5.9,0.016264742,0.0009311004,38.055687
14.9,Ascending,56,4.3,0.03556334,0.008282993,42.374077
14.9,Ascending,123,9.3,0.03521668,0.00751348,42.37845
9.4,Ascending,3,8.6,0.04607013,0.006986074,44.30877
9.4,Ascending,176,3.9,0.05002824,0.008707252,33.162117
9.4,Ascending,359,13.6,0.0499246,0.007367363,44.30319
46.9,Ascending,37,14.4,0.01783352,0.0012785398,41.078514
46.9,Ascending,254,9.4,0.0070140986,0.0010707682,41.073555
46.9,Ascending,268,11.1,0.047143117,0.002205413,31.503813
7.6,Ascending,235,4.4,0.05542607,0.011910199,40.943832
21.0,Ascending,27,3.1,0.023809666,0.0038936844,45.070736
21.0,Ascending,84,8.3,0.089884005,0.006084638,35.25485
21.0,Ascending,300,9.1,0.01978248,0.0038444367,45.06608
35.1,Ascending,146,0.1,0.002972766,0.0023332364,31.060034
