,height,scending,wdir,wspeed
187,19.2,Ascending,319,13.4
188,7.0,Ascending,251,4.6
189,22.9,Ascending,143,6.3
190,22.9,Ascending,347,5.4
191,15.8,Ascending,227,3.4
192,15.9,Ascending,210,2.6
193,9.4,Ascending,311,4.0
194,9.4,Ascending,343,3.8
195,6.6,Ascending,189,1.1
196,15.5,Ascending,257,10.3
197,17.7,Ascending,97,9.3
198,17.7,Ascending,107,5.9
199,14.9,Ascending,56,4.3
200,14.9,Ascending,123,9.3
201,9.4,Ascending,3,8.6
202,9.4,Ascending,176,3.9
203,9.4,Ascending,359,13.6
204,46.9,Ascending,37,14.4
205,46.9,Ascending,254,9.4
206,46.9,Ascending,268,11.1
207,7.6,Ascending,235,4.4
208,21.0,Ascending,27,3.1
209,21.0,Ascending,84,8.3
210,21.0,Ascending,300,9.1
211,35.1,Ascending,146,0.1
212,35.1,Ascending,215,1.7
213,17.1,Ascending,227,5.7
214,6.6,Ascending,110,4.9
215,9.1,Ascending,129,7.8
216,35.2,Ascending,244,9.5
217,35.2,Ascending,276,5.4
218,35.2,Ascending,349,5.0
219,11.6,Ascending,308,4.4
220,11.6,Ascending,318,4.3
221,9.8,Ascending,28,3.8
222,5.0,Descending,223,6.4
223,5.0,Descending,225,5.5
224,5.0,Descending,342,6.3
225,5.0,Descending,318,6.6
226,4.0,Descending,323,7.6
227,4.0,Descending,158,6.6
228,4.0,Descending,338,10.1
229,4.0,Descending,5,10.4
230,4.0,Descending,5,11.5
231,5.0,Descending,1,6.3
232,4.0,Descending,202,1.3
233,5.0,Descending,330,4.2
234,5.0,Descending,344,5.4
235,5.0,Descending,346,8.5
236,5.0,Descending,347,9.6
237,5.0,Descending,309,5.4
238,5.0,Descending,300,6.5
239,4.0,Descending,18,5.8
240,4.0,Descending,360,9.1
241,4.0,Descending,222,3.6
242,5.0,Descending,299,8.2
243,4.5,Descending,348,8.5
244,4.5,Descending,353,5.4
245,4.5,Descending,343,4.2
246,4.5,Descending,334,5.9
247,5.0,Descending,73,7.2
248,5.0,Descending,60,3.9
249,5.0,Descending,88,4.2
250,4.0,Descending,44,5.8
251,24.8,Descending,226,9.7
252,31.4,Descending,287,0.1
253,22.9,Descending,158,9.1
254,9.4,Descending,23,2.2
255,9.4,Descending,351,8.1
256,9.4,Descending,1,11.5
257,6.6,Descending,179,4.8
