,ascending,ndbc,ndbc_dir,ndbc_height,ndbc_speed,sar_name
209,Ascending,46047,251,5.0,3.3,S1B_IW_GRDH_1SDV_20170526T015705_20170526T015734_005763_00A197_F34D
210,Ascending,46069,188,5.0,1.1,S1B_IW_GRDH_1SDV_20170526T015734_20170526T015759_005763_00A197_7A11
211,Ascending,46088,258,5.0,6.0,S1B_IW_GRDH_1SDV_20170526T020119_20170526T020144_005763_00A197_E54E
212,Ascending,mism1,347,22.9,5.4,S1A_IW_GRDH_1SDV_20170526T223501_20170526T223526_016759_01BD80_0095
213,Ascending,mlrf1,227,15.8,3.4,S1A_IW_GRDH_1SDV_20170525T232743_20170525T232808_016745_01BD07_0389
214,Ascending,mrka2,210,15.9,2.6,S1B_IW_GRDH_1SDV_20170523T031848_20170523T031917_005720_00A055_CF85
215,Ascending,nwpo3,311,9.4,4.0,S1B_IW_GRDH_1SDV_20170531T020839_20170531T020904_005836_00A3AE_F54B
216,Ascending,nwpo3,343,9.4,3.8,S1B_IW_GRDH_1SDV_20170519T020838_20170519T020903_005661_009EA1_BBF6
217,Ascending,pila2,189,6.6,1.1,S1B_IW_GRDH_1SDV_20170521T033513_20170521T033542_005691_009F84_A68C
218,Ascending,plsf1,97,17.7,9.3,S1A_IW_GRDH_1SDV_20170518T233538_20170518T233603_016643_01B9E6_D58F
219,Ascending,plsf1,107,17.7,5.9,S1A_IW_GRDH_1SDV_20170530T233539_20170530T233604_016818_01BF4E_C6B6
220,Ascending,ptat2,56,14.9,4.3,S1A_IW_GRDH_1SDV_20170530T003418_20170530T003443_016804_01BEDA_B961
221,Ascending,ptat2,123,14.9,9.3,S1A_IW_GRDH_1SDV_20170518T003417_20170518T003442_016629_01B977_CE96
222,Ascending,ptgc1,3,9.4,8.6,S1B_IW_GRDH_1SDV_20170519T020543_20170519T020608_005661_009EA1_F4DF
223,Ascending,ptgc1,176,9.4,3.9,S1B_IW_GRDH_1SDV_20170526T015734_20170526T015759_005763_00A197_7A11
224,Ascending,roam4,37,46.9,14.4,S1B_IW_GRDH_1SDV_20170517T234925_20170517T234950_005645_009E30_679B
225,Ascending,roam4,254,46.9,9.4,S1B_IW_GRDH_1SDV_20170529T234926_20170529T234951_005820_00A33D_CB27
226,Ascending,roam4,268,46.9,11.1,S1A_IW_GRDH_1SDV_20170530T234219_20170530T234244_016818_01BF4E_BDA5
227,Ascending,sauf1,235,7.6,4.4,S1A_IW_GRDH_1SDV_20170525T232858_20170525T232923_016745_01BD07_0AC3
228,Ascending,sbio1,27,21.0,3.1,S1B_IW_GRDH_1SDV_20170519T233128_20170519T233157_005674_009F04_896A
229,Ascending,sbio1,84,21.0,8.3,S1A_IW_GRDH_1SDV_20170520T232357_20170520T232422_016672_01BACC_9798
230,Ascending,sgof1,146,35.1,0.1,S1A_IW_GRDH_1SDV_20170518T233653_20170518T233718_016643_01B9E6_92D4
231,Ascending,sgof1,215,35.1,1.7,S1A_IW_GRDH_1SDV_20170530T233654_20170530T233719_016818_01BF4E_B181
232,Ascending,sisw1,227,17.1,5.7,S1B_IW_GRDH_1SDV_20170526T020119_20170526T020144_005763_00A197_E54E
233,Ascending,spgf1,110,6.6,4.9,S1A_IW_GRDH_1SDV_20170520T231947_20170520T232012_016672_01BACC_B164
234,Ascending,srst2,129,9.1,7.8,S1A_IW_GRDH_1SDV_20170520T001818_20170520T001843_016658_01BA5D_566B
235,Ascending,stdm4,244,35.2,9.5,S1A_IW_GRDH_1SDV_20170530T234154_20170530T234219_016818_01BF4E_CF9C
236,Ascending,stdm4,349,35.2,5.0,S1B_IW_GRDH_1SDV_20170519T233312_20170519T233337_005674_009F04_624C
237,Ascending,venf1,308,11.6,4.4,S1A_IW_GRDH_1SDV_20170530T233629_20170530T233654_016818_01BF4E_B213
238,Ascending,venf1,318,11.6,4.3,S1A_IW_GRDH_1SDV_20170518T233628_20170518T233653_016643_01B9E6_6713
239,Ascending,wpow1,28,9.8,3.8,S1B_IW_GRDH_1SDV_20170526T020119_20170526T020144_005763_00A197_E54E
240,Descending,44007,223,5.0,6.4,S1B_IW_GRDH_1SDV_20170519T104739_20170519T104808_005666_009ECB_5585
241,Descending,44013,225,5.0,5.5,S1B_IW_GRDH_1SDV_20170519T104808_20170519T104833_005666_009ECB_B6C5
242,Descending,46012,318,5.0,6.6,S1A_IW_GRDH_1SDV_20170518T141604_20170518T141629_016637_01B9B7_C40C
243,Descending,46013,323,4.0,7.6,S1A_IW_GRDH_1SDV_20170518T141539_20170518T141604_016637_01B9B7_3824
244,Descending,46014,158,4.0,6.6,S1A_IW_GRDH_1SDV_20170523T142335_20170523T142400_016710_01BBF3_CF1A
245,Descending,46014,338,4.0,10.1,S1A_IW_GRDH_1SDV_20170518T141514_20170518T141539_016637_01B9B7_F4A7
246,Descending,46015,5,4.0,10.4,S1B_IW_GRDH_1SDV_20170522T143005_20170522T143021_005712_00A01B_E51A
247,Descending,46015,5,4.0,11.5,S1A_IW_GRDH_1SDV_20170523T142245_20170523T142310_016710_01BBF3_3F8D
248,Ascending,51002,76,4.0,9.0,S1B_IW_GRDH_1SDV_20170518T043719_20170518T043748_005648_009E41_D46F
249,Ascending,51101,31,5.0,11.8,S1A_IW_GRDH_1SDV_20170522T045616_20170522T045641_016690_01BB57_6395
250,Ascending,buzm3,8,24.8,10.1,S1A_IW_GRDH_1SDV_20170713T223435_20170713T223504_017459_01D2E6_A83B
251,Ascending,cdrf1,338,10.0,2.6,S1A_IW_GRDH_1SDV_20170518T233653_20170518T233718_016643_01B9E6_92D4
252,Ascending,dpia1,179,13.5,3.6,S1A_IW_GRDH_1SDV_20170528T235351_20170528T235416_016789_01BE6C_E9F7
253,Descending,46025,202,4.0,1.3,S1A_IW_GRDH_1SDV_20170520T140035_20170520T140100_016666_01BA9A_0D7A
254,Descending,46026,330,5.0,4.2,S1A_IW_GRDH_1SDV_20170518T141539_20170518T141604_016637_01B9B7_3824
255,Descending,46027,344,5.0,5.4,S1A_IW_GRDH_1SDV_20170523T142245_20170523T142310_016710_01BBF3_3F8D
256,Descending,46029,346,5.0,8.5,S1B_IW_GRDH_1SDV_20170522T142915_20170522T142940_005712_00A01B_6A5E
257,Descending,46029,347,5.0,9.6,S1A_IW_GRDH_1SDV_20170523T142151_20170523T142220_016710_01BBF3_829A
258,Descending,46041,309,5.0,5.4,S1B_IW_GRDH_1SDV_20170522T142850_20170522T142915_005712_00A01B_C4AD
259,Descending,46050,18,4.0,5.8,S1B_IW_GRDH_1SDV_20170522T142940_20170522T143005_005712_00A01B_E663
260,Descending,46050,360,4.0,9.1,S1A_IW_GRDH_1SDV_20170523T142220_20170523T142245_016710_01BBF3_FC94
261,Descending,46053,222,4.0,3.6,S1A_IW_GRDH_1SDV_20170520T140010_20170520T140035_016666_01BA9A_7C2B
262,Descending,46069,299,5.0,8.2,S1A_IW_GRDH_1SDV_20170520T140035_20170520T140100_016666_01BA9A_0D7A
263,Descending,46097,348,4.5,8.5,S1A_IW_GRDH_1SDV_20170523T142220_20170523T142245_016710_01BBF3_FC94
264,Descending,46097,353,4.5,5.4,S1B_IW_GRDH_1SDV_20170522T142940_20170522T143005_005712_00A01B_E663
