,ascending,ndbc,ndbc_dir,ndbc_height,ndbc_speed,sar_name
49,Ascending,41037,174,2.95,3.0,S1A_IW_GRDH_1SDV_20170627T230517_20170627T230542_017226_01CBD2_7AE0
50,Ascending,41037,196,2.95,6.7,S1A_IW_GRDH_1SDV_20170522T230515_20170522T230540_016701_01BBB0_D697
51,Ascending,41037,208,2.95,6.9,S1A_IW_GRDH_1SDV_20170721T230518_20170721T230543_017576_01D66A_0AA2
52,Ascending,41038,199,2.95,3.0,S1A_IW_GRDH_1SDV_20170627T230517_20170627T230542_017226_01CBD2_7AE0
53,Ascending,41038,203,2.95,4.2,S1A_IW_GRDH_1SDV_20170522T230515_20170522T230540_016701_01BBB0_D697
54,Ascending,41038,212,2.95,4.6,S1A_IW_GRDH_1SDV_20170721T230518_20170721T230543_017576_01D66A_0AA2
55,Ascending,41043,84,4.0,5.8,S1A_IW_GRDH_1SDV_20170713T222858_20170713T222923_017459_01D2E5_CFEC
56,Ascending,41043,98,4.0,9.1,S1A_IW_GRDH_1SDV_20170619T222856_20170619T222921_017109_01C856_7E63
57,Ascending,41043,125,4.0,4.3,S1A_IW_GRDH_1SDV_20170526T222855_20170526T222920_016759_01BD7F_85C4
58,Ascending,41064,205,2.95,4.6,S1A_IW_GRDH_1SDV_20170709T230518_20170709T230543_017401_01D117_3E98
59,Ascending,41064,212,2.95,2.3,S1A_IW_GRDH_1SDV_20170627T230517_20170627T230542_017226_01CBD2_7AE0
60,Ascending,41064,226,2.95,6.9,S1A_IW_GRDH_1SDV_20170522T230515_20170522T230540_016701_01BBB0_D697
61,Ascending,41064,228,2.95,7.6,S1A_IW_GRDH_1SDV_20170721T230518_20170721T230543_017576_01D66A_0AA2
62,Ascending,42012,204,5.0,5.7,S1A_IW_GRDH_1SDV_20170528T235326_20170528T235351_016789_01BE6C_3F57
63,Ascending,42013,334,3.1,3.7,S1A_IW_GRDH_1SDV_20170530T233629_20170530T233654_016818_01BF4E_B213
64,Ascending,42020,24,5.0,2.0,S1A_IW_GRDH_1SDV_20170530T003353_20170530T003418_016804_01BEDA_7F64
